Time,Average
0,0.0
1,0.0
2,0.0
4,0.0
5,0.1518
6,0.6984
7,0.7098000000000001
8,0.41
9,0.617
10,0.7434
11,0.6083999999999999
13,0.8782
14,0.7262
15,0.7258
16,0.7706
17,0.7376
18,0.6436000000000001
19,0.6936000000000001
20,0.73
21,0.7716
22,0.8646
23,0.6792
24,0.7238
25,0.6808
26,0.7409999999999999
27,0.6980000000000001
28,0.7196
29,0.7385999999999999
30,0.7232000000000001
31,0.79059999999999995
32,0.7499999999999999
33,0.7373999999999998
34,0.5930000000000001
35,0.6728
36,0.3144
37,0.7228
38,0.7173999999999999
39,0.7162000000000001
40,0.5422
41,0.4064
42,0.45620000000000005
43,0.7140000000000001
44,0.41559999999999997
45,0.655
46,0.5586
47,0.7254
48,0.6676
49,0.7482
50,0.5307999999999999
52,0.4824
53,0.128
54,0.6452
55,0.6154
56,0.7384
57,0.6942
58,0.7226
59,0.6054
60,0.5488
61,0.4902
62,0.4568
63,0.7268000000000001
64,0.6260000000000001
65,0.37320000000000003
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
